video_id,title,channel_name,published_at,views,likes,comments,tags,keywords,video_url,collection_date
HX1EXb5kWwY,"Ve Junoon | Awarapan 2 | Emraan Hashmi, Disha Patani | Vishesh Bhatt | Mithoon, Sayeed Q., Subodhh",Sony Music India,2026-07-07 05:41:05,13794095,185316,38103,"sony music india, ve junoon, ve junon, ve junoon song, Mithoon, Subodhh Sharma, Sayeed Quadri, Awarapan 2, Emraan Hashmi, Disha Patani, Vishesh Bhatt, awarapan 2 songs, awarapan 2 trailer, awarapan 2 movie, emraan hashmi awarapan 2, emraan hashmi, emraan hashmi movie, emraan hashmi songs, love songs, hindi songs, bollywood songs, emraan hashmi song, emraan hashmi romantic songs, romantic songs, new hindi song, new hindi songs, new song, hindi song, disha patani","junoon, awarapan, emraan, hashmi, disha, patani, vishesh, bhatt",https://www.youtube.com/watch?v=HX1EXb5kWwY,2026-07-09
h1kihH0l8iQ,"Tabaahi  | Toxic (Hindi) | Rocking Star Yash, Kiara Advani, Tara Sutaria| Vishal Mishra, Raj Shekhar",Zee Music Company,2026-07-08 06:03:03,13171502,186572,11849,"tabaahi, tabaahi video, yash, tabaahi full song, toxic movie song, rocking star yash, toxic film song, toxic song, tabahi, tabahee, yash new song, kiara advani new song, vishal mishra new song, vishal mishra song, new toxic song, new bollywood song, latest bollywood song, new hindi song, latest hindi song, new trending song, new romantic song, new love song, tabaahi song, kiara advani, tabaahi toxic, tabaahi toxic song, yash toxic, tabaahi full video, tabaahi video song","tabaahi, toxic, hindi, rocking, star, yash, kiara, advani",https://www.youtube.com/watch?v=h1kihH0l8iQ,2026-07-09
0xEZGOUlN5Y,GTA 5 LIVE   DON T BLINK! SECRET MOD ACTIVATED   #gtalive #gtaonline,Pixel Hunters,2026-07-08 15:26:20,11198430,28903,7,"gta 5 live, gta v live stream, gta 5 gameplay, gta 5 online, gta 5 rp live, gta 5 police chase, gta 5 mission gameplay, gta 5 mods, gta 5 new update, gta 5 online missions, gta 5 car mods, gta 5 story mode, gta 5 chaos mod, gta 5 action gameplay, gta 5 epic gameplay, gta 5 livestream, gta online live, gta v online, gta 5 no commentary, gta 5 free roam, gta 5 gangster gameplay, gta 5 open world, gta 5 stream, gta 5 fivem, gta 5 gaming live","gta, live, don, blink, secret, mod, activated, gtalive",https://www.youtube.com/watch?v=0xEZGOUlN5Y,2026-07-09
NdvqHc56lE0,Dune: Part Three | Official Trailer,Warner Bros.,2026-07-08 17:59:03,6367110,276464,15374,"Action, Anya Taylor-Joy, Brian K Vaughan, Charlotte Rampling, Coming Soon, Denis Villeneuve, Dune, Dune Messiah, Dune: Part Three, Florence Pugh, Ida Brooke, Isaach De Bankolé, Jason Momoa, Javier Bardem, Messiah, Nakoa-Wolf Momoa, Rebecca Ferguson, Robert Pattinson, Sci Fi, Timothée Chalamet, Trilogy, Warner Bros, Zendaya","dune, three",https://www.youtube.com/watch?v=NdvqHc56lE0,2026-07-09
q5HK8lXE_aE,"Massacre Song | Music Video | ALPHA | Alia Bhatt, Sharvari | Rohansh & Abeer, Shilpa, Jonita, Kausar",YRF,2026-07-07 05:30:06,2893889,41555,2880,"massacre song, alpha massacre song, alpha song, alpha movie song, alia bhatt song, sharvari song, maessacre hindi song, massacare song, mascare song, alpha new song, new bollywood song, new hindi songs, new song 2026, hindi movie song, alia bhatt new songs, sharvari new songs, alia sharvari dance song, bollywood song 2026, hindi song 2026, shilpa rao new song, jonita gandhi new song, shilpa rao romantic song, masscre alpha song, massacre shilpa rao, alfa song, masacre","massacre, music, alpha, alia, bhatt, sharvari, rohansh, abeer",https://www.youtube.com/watch?v=q5HK8lXE_aE,2026-07-09
3_NEH4LyaWk,HUGGY WUGGY IS BACK | POPPY PLAYTIME CHAPTER 5 [PART 1],Techno Gamerz,2026-07-08 03:30:25,2570703,121240,11223,"poppy playtime, chapter 5, story, huggy wuggy, momy, catnap, the prototype, poppy playtime gameplay, explain, toy factory, horror escape, maze, puzzle, horror game, ujjwal, techno gamerz","huggy, wuggy, back, poppy, playtime, chapter",https://www.youtube.com/watch?v=3_NEH4LyaWk,2026-07-09
JkzXZw1mZIc,Ohh My Dog Official Teaser | Amit Rai | Pankaj Tripathi | Pavan Malhotra | In Cinemas 31st July,Babulal Biscope,2026-07-07 06:30:07,2332200,11170,625,No Tags,"ohh, dog, teaser, amit, rai, pankaj, tripathi, pavan",https://www.youtube.com/watch?v=JkzXZw1mZIc,2026-07-09
C1D_YFrD1uc,ARGENTINA vs EGYPT | PENALTY SHOOTOUT | Full Match All Goals | Simulation PES 21,90 + LINE,2026-07-07 04:00:10,1725440,5200,113,No Tags,"argentina, egypt, penalty, shootout, match, all, goals, simulation",https://www.youtube.com/watch?v=C1D_YFrD1uc,2026-07-09
b6qiOnqT6oU,"July 7, 2026 | ARGENTINA vs EGYPT | FIFA World Cup 2026 Round of 16 Football Match | PES21 Gameplay",Shab Gameplay,2026-07-07 07:00:40,1631961,11436,495,No Tags,"july, 2026, argentina, egypt, fifa, world, cup, round",https://www.youtube.com/watch?v=b6qiOnqT6oU,2026-07-09
wJKETVognSg,GTA 5 LIVE #gta5 #gtav #gaming,Hear Is Live,2026-07-09 04:09:22,1352871,4083,0,"gta 5 live, gta v live stream, indian train gta 5, gta 5 challenge live, gta 5 stunts","gta, live, gta5, gtav, gaming",https://www.youtube.com/watch?v=wJKETVognSg,2026-07-09
7ySEelF9D58,Power Star #Pawan Singh |   (Naseeb) | Official Video | Mahima Singh | New Bhojpuri Sad Song 2026,Yashi Films,2026-07-07 08:58:26,1133996,104200,10795,"bhojpuri emotional song, bhojpuri gana, bhojpuri official video, bhojpuri sad song 2026, bhojpuri songs 2026, emotional bhojpuri song, latest bhojpuri song, mahima singh, mahima singh song, naseeb, naseeb pawan singh, naseeb song, new bhojpuri song 2026, new bhojpuri video, pawan singh, pawan singh naseeb, pawan singh new song 2026, pawan singh official video, pawan singh sad song, power star, power star pawan singh, sad bhojpuri song, sadgana, yashi films, नसीब, नसीब गाना","power, star, pawan, singh, naseeb, mahima, bhojpuri, sad",https://www.youtube.com/watch?v=7ySEelF9D58,2026-07-09
2_DQdl_iK0E,GTA 5 LIVE  #gta5 #gtalivestream#gtastorymode #shortslive#verticallivefeed,CAPCUT PLAYZ,2026-07-08 06:00:08,1125107,3890,1,"gta5, gta6","gta, live, gta5, gtalivestream, gtastorymode, shortslive, verticallivefeed",https://www.youtube.com/watch?v=2_DQdl_iK0E,2026-07-09
mqkENy2nPww,MECHA CHAMELEON WITH GANG | MARATHON STREAM | @LoLzZzGaming,LoLzZz Gaming,2026-07-08 22:51:15,992002,47993,63,No Tags,"mecha, chameleon, gang, marathon, stream, lolzzzgaming",https://www.youtube.com/watch?v=mqkENy2nPww,2026-07-09
UKdSed63DZM,WWE 2K25 LIVE   Unbelievable Finish  | Best Match Ever Played!#wwe #wrestling #wwe2k25 #shorts,Gameover gaming,2026-07-08 14:11:20,991790,1840,0,"#wwe, #live, #gameover, #gaming, #2k25, #like, #comment, #subscribe, #shorts, #views, #public","wwe, 2k25, live, unbelievable, finish, best, match, ever",https://www.youtube.com/watch?v=UKdSed63DZM,2026-07-09
6YTwWLTLNr8,Carry Become Heartless in Minecraft..,Carry Depie,2026-07-07 11:50:12,926261,13481,804,"carry depie, minecraft","carry, become, heartless, minecraft",https://www.youtube.com/watch?v=6YTwWLTLNr8,2026-07-09
pwLdpAhGpvE,GTA V LIVE  #shortsfeed #shortslive #gta #shorts #live #gta5,RageGod fps,2026-07-08 04:10:04,899741,2118,0,No Tags,"gta, live, shortsfeed, shortslive, shorts, gta5",https://www.youtube.com/watch?v=pwLdpAhGpvE,2026-07-09
DxZ2RuvRrbs,KARAVALI 4K Trailer | Prajwal Devraj | Sampada | Raj B Shetty | Sachin Basrur | Gurudatha Ganiga,Anand Audio,2026-07-07 12:33:17,898468,44603,1756,No Tags,"karavali, prajwal, devraj, sampada, raj, shetty, sachin, basrur",https://www.youtube.com/watch?v=DxZ2RuvRrbs,2026-07-09
sGrw9n4-u7w,183 Kills in Br Ranked   New World Record - Tonde Gamer,Tonde Gamer,2026-07-07 01:30:30,898082,58285,5381,"free fire, garena free fire, tonde gamer, tonde new video, tonde, gaitonde, tgr gaitonde, solo vs squad, tonde solo vs squad, 1 vs 4, best gameplay, free fire hindi, ff hindi, free fire king, free fire gameplay, ajjubhai, total gaming, desi gamers, high level, highest kills, top 1, grandmaster, pro lobby, awm king, awm gameplay, 2x awm, 2x sniper, challenge, free fire challenge, indian server","183, kills, ranked, world, record, tonde, gamer",https://www.youtube.com/watch?v=sGrw9n4-u7w,2026-07-09
_FjFsuxB1Gs,Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,Maro Spidey,2026-07-08 17:49:38,893688,26171,3503,No Tags,"spider, man, rescue, batman, iron, venom, funny, game",https://www.youtube.com/watch?v=_FjFsuxB1Gs,2026-07-09
