"source_name"    , "author"                , "title"                                                                                                                                    , "description"                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , "url"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "keyword"                         , "language", "published_date"     , "collected_at"
"GNews"          , "NaN"                   , "‘Chokepoint Politics’: China’s Rare-Earth Statecraft and India’s Search for Strategic Autonomy - orfonline.org"                           , "‘Chokepoint Politics’: China’s Rare-Earth Statecraft and India’s Search for Strategic Autonomy  orfonline.org"                                                                                                                                                                                                                                                                                                                                                                            , "https://news.google.com/rss/articles/CBMixgFBVV95cUxOVlRDdXNFUjBlTkFaMi1UYjZ3cGI2eHowNnhkRmZQR3l6NFdvRDlqSWppU0RwbV9nQ0xPcjljY3NhUGhtMUtzQ0ZuUHA3djFjOU05amJKVFhPTWhyX3VSN2c4V2JkdHVpMGVXak1OM0puMF9GSDlualJYN25WNFlmb2xCM0l6d3NNS0ZMdkJqb2Y3N0dnaU5pX01kdHVjbzJZVUppMTFFa1JuRjV4SnNLbjVzMDJZQ1VEdk5DRzRWNVJNS1FheVE?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "chokepoint, politics, chinas"    , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "India-UK Trade Deal Kicks In: What Gets Cheaper, Which Sectors Gain Most - NDTV"                                                          , "India-UK Trade Deal Kicks In: What Gets Cheaper, Which Sectors Gain Most  NDTV"                                                                                                                                                                                                                                                                                                                                                                                                           , "https://news.google.com/rss/articles/CBMitwFBVV95cUxONW51WTRHdWI0TzRxVkRKVVVtcEFSX2NmY2l5QmpGTXFLM3hEVzh1SDVkMEZSMTIzRW5MRWtpUVIxWjdPSmhSSUlTMndlMEZYZGNNLXpEdmlBVUFQS0pzM0tsTk9xVmxqRHU0QmlBTGNXb1dnd3pwejhLYkFZaVoxLWoxa3ItcG1MSlBvdGxmNmVHelhldmJhSmdWUV9ySFRlaHpIU3h4Nm1SRDM5dDdPLXFZeHhJZ2_SAb8BQVVfeXFMT3QtdmtqVV9fOTR0b3Y2Z1MxQnNWYmxKam01MHZKQm55UTFZNmN0WXpVTHVGUHhzWVNWTENyYXE2SVVFRGNRWGVhaTdqbmVjZkctY0pua1czYU5zb2RIV0I2OW80Q1JJdVRDMk1XY2czS2RiYkRENHVCV1ZFSllPUXM3WXVYaWRvOXQ4SmJaUmRNcEZGZm9Ea25BbHVzUkR2RkIxVC1YaVVEUlhfSXRWNjJtMjIzVndaeGtoVVNjM0k?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                                                                                                                               , "india, trade, deal"              , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "Air India crash probe enters final stages after cockpit recorder, psychology reviews - Reuters"                                           , "Air India crash probe enters final stages after cockpit recorder, psychology reviews  Reuters"                                                                                                                                                                                                                                                                                                                                                                                            , "https://news.google.com/rss/articles/CBMixgFBVV95cUxPNmRiTGh4Y0ZlV3Vjd1ZxRkN6d3FaZGQtdlBJb0JseHJPSkdsaUNaS2NUOGpzeWJJQk45X2NpS3Z6eUxreDJDVXZCU1pOT1hnTGNaSWZNNElCSWcybm1Vd05CVDJ3cFoxTHVjdmJCMFRnZFZEZF9tX0Nhb0Yxc3ZEYTBZWl9sbW02QzdrSmt0T3BHQnhkSmtqeUhmYjRTWVNoOWJiS2RUV1pWUFNFV0hJOWExVlM1ZWRMUXI2V0twNXFDX1VTX3c?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "india, crash, probe"             , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "India-UK Comprehensive Economic and Trade Agreement Comes into Force today - News On AIR"                                                 , "India-UK Comprehensive Economic and Trade Agreement Comes into Force today  News On AIR"                                                                                                                                                                                                                                                                                                                                                                                                  , "https://news.google.com/rss/articles/CBMiogFBVV95cUxPZ2FoM29SMDU0S3VnYWNWb19XTGlhTUlwQXVkQjVfRzhWa1h4ZjV3TkRma2hweDRXa1BDME9Tek5TN1BqNlg4NlpicWNaaFFOX1VId0kxRmg3NnJPRi0tdXZSRlgyclowS0hfNEd1cHkxR3ZMZm1KWkI4d2ZOclN0SDBZbVZVUjd3OXRFeEpJMlhvemhpemFnY2M1M2dNUk9SdWc?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "india, comprehensive, economic"  , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "U.S. Senators unveil bill for 100% tariffs on India, four others for buying Russian oil - The Hindu"                                      , "U.S. Senators unveil bill for 100% tariffs on India, four others for buying Russian oil  The Hindu"                                                                                                                                                                                                                                                                                                                                                                                       , "https://news.google.com/rss/articles/CBMi4AFBVV95cUxPbE54aDJFaUdnVG9nWHV4NWhyUXFfMWo3TE5nU3ZVTDFkY25DWENyX1YxQjIyREw4YVhvc3hDVFQwMlJtRFlfdTVUR0VXblNvZlNNNE9uSUEtZ2c5eHA0RVJ4SVk1bkpLU240TFJpbGx6d01sSmtlTVlzZERhQkFBN0d6OC03ckVtN2M1eWhySkI2X3ZObU5CdHFHcmhiVDJTcUFCWXNLSUp5WWxLdEtHTXo5ZUI1Nkp4MnRfUmZWN1BiLUhzOHhTajlnVjhNV25oU3dzNnlhUmd3RThPUjRkcNIB5wFBVV95cUxNa3VFNmVkOXU3MTBiOFFZT0R6bmlnZDVyb2lUdXpwRnViNHRhN2h0cnE0ZVlRak00VXlmcjY0ZFh5M3gzVnA2bU9OVVF6M3ZSOUhRZlBpZEVZc01EQ2w4ZlBCNTNtaVJweUdYUmxFaTdrYktaQ0cxZ3J3a0pjbm1aWUdLNFZ4NWZEX0Q0YjdSdlMxWGFXbXpUWnB3Y2pLdHk0UkZpZ2o2SFhtM3c5WFZmMDhSS2dnNXZzMndOUXJDckpvak9UOVE3cEg4Nm1EaDJyeEhyVTRfMzd3cVVKM2VYZm5CcE9TbTg?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                   , "senators, unveil, bill"          , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "Latest Hockey News and Updates - Hockey India"                                                                                            , "Latest Hockey News and Updates  Hockey India"                                                                                                                                                                                                                                                                                                                                                                                                                                             , "https://news.google.com/rss/articles/CBMi9AFBVV95cUxPb2pMTmxIZjlhSmQ4eWxpejFERFFJNXZGc3VKanc4VXBoem13RGN1UENtLVYtSDNYX1dXMldsVzVnVFdSWmZiWW9mWm1PekN4UVBXdG51VVFfc1JTQUVFZ2phamdlVG5USm5oZTZXZjlJdlNzOV9mcFh3RFRtY3RuNkFfLW5QemphNHpVQkxtdE5Nd0t2bzZhNzJwVmZzb0VOcEFMcXhGRDJRQUFpcXQtbFV2U0FmNHI1OXV2VVZKbDdjUzZ1X2VwQXFfZnZjRW1oaWl6TFQtaHhNMDlXblNjZDhTOTNVaHFoRXdmWEgtdVR0OTZ6?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , "hockey, latest, news"            , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "India launches campaign for UN Security Council seat for 2028-29 term - News On AIR"                                                      , "India launches campaign for UN Security Council seat for 2028-29 term  News On AIR"                                                                                                                                                                                                                                                                                                                                                                                                       , "https://news.google.com/rss/articles/CBMimwFBVV95cUxQUnFDX2NMNENwcEZ4TEFWb3BNQ3N0eWQ4d1VqaW9KSkFmVFZtN3VSUkRjeXpxeTlfMmxZLTlZZG9HTDN4cXE2UDRzRlROeVdReHJzdDZycWxMaEFtSW9SSFBaSGFRTnV6S0NJTFAtTnh0LVdhUV9xYmlhdER1X190TGNsazd0S2x6bjF6Mld5RjRaanVIY01kQjdHaw?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , "india, launches, campaign"       , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "What are the gains from the India-U.K. trade deal? | Explained - The Hindu"                                                               , "What are the gains from the India-U.K. trade deal? | Explained  The Hindu"                                                                                                                                                                                                                                                                                                                                                                                                                , "https://news.google.com/rss/articles/CBMisAFBVV95cUxPdzZ2aHdRanFrejVVUXZYRXcwMTAwRThCUzJuV2lPazIzdUkyUGh2TklVNHVuY0VfTDR1NW54a0ZlQkt2WTAyTDZLQ1ktbWhvbnFtVDR6V0RabTNIZnR0aTNXUkF2M1g3VlAwZ0xhQmdSQXN6OEtvbFhaSE83THQ5Y3lZYU1abW0wVXJ3amhLX1BNdUYzU05DcEFvcUtIWXNxaFo5UVZ6a3hPR3pJYUJUNNIBtwFBVV95cUxPazc0bkM0cjRZeFdoT0QzYVdVOFFVXzRSTGxSMXN1cUZWZnVtTzVzc1A4MEdUOExBWnFuaVhmekR3NkJ1WlYycnFDbklpNlNaY1RZbDZZRW0yOTJTSEFmN0FqUFdZMmZlTmdzUkE0VHRLM1JfUzA5bXFsVnNFV25xM29fWWdDcjg3ZlMzelFEakozSkhpTXo2U0VYZnhyOG5sM3lSTTFGQkJkOUN3aGJUQWxDM3NieDA?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                                                                                                                                                   , "gains, india, trade"             , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "India GCCs shift towards reskilling over hiring as AI talent gap widens: Report - ETHRWorld.com"                                          , "India GCCs shift towards reskilling over hiring as AI talent gap widens: Report  ETHRWorld.com"                                                                                                                                                                                                                                                                                                                                                                                           , "https://news.google.com/rss/articles/CBMiggJBVV95cUxNVW9NWFhVYzhiNTUxX0o4UzFNd1A3dEMzTmZjZnJld3ZjZ1R1OHIxbXE2TURpNlZCNkZLVDFaV05mdm1FbGdoNjBiZmZ2Sk90bWpKVEFxZE5mZnRjMGZLUlVjNElBdW5QOEJQYTBnZ0d0WDVWdmZTWWF0UURSSzIzY2lvZ0JJUmxkeXlHRERkWWJKdGdvTjh2bjF6OG5FNmFyTVFtdjlJdUVWaGJMMTRDcU1QenBpaWRrd1FOdFJobUR3d1FiTnZwaFNCNTJ2Sjc4dUtpeXJ4MTdyQ2N0R0p3WEFkRWYta1VPOUNqSktfY2FxM2VjbXp6VWtUUGs2Y3pWc1HSAYcCQVVfeXFMTTFZZlAwMWpiU18yZ19waU5GQ1RJWEpJZlJ5UWxDY1ZYTkdBalRSYlI0Zm54SlhjbEtncXhKZGNBcDVWNlEteTNFS3paWWh0TWlQMkpvZGJjaDJxTTdRN2UxMWRBcnBMbmY4NkdpdkVzdlk0LTUyaFVJUkZHanNacGNTdF9tYmhROFFKenZpN003X1AwSFl3TWtZenFaQ0h1UVB5MXUycXFVVmh6SEdubGtqV25IQ1BkeG1Cdml5Y1FndEd1d0YtTjJSUHlDMGFjT1hibC1nLVpTVjJ4MVA5eG5kZW8tUmluNDdRZ05NNUNGSWZfcUVFTFBONm9hczJHTUtVd3piSmc?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                           , "india, gccs, shift"              , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
"GNews"          , "NaN"                   , "AI in Indian Education: Atal Innovation Mission and Google launch ATL Saathi - Google DeepMind"                                           , "AI in Indian Education: Atal Innovation Mission and Google launch ATL Saathi  Google DeepMind"                                                                                                                                                                                                                                                                                                                                                                                            , "https://news.google.com/rss/articles/CBMimAFBVV95cUxQOXFMTUNKaE92UF9ENGk1YmVxWG5sSHV5NkpZaW0zamwyMlNFQ1pnV1dsejdlU3dtaWU0bWppYlBidXUyb3VtZTdTQnoxTlVUVTNBMDdXc0RCNDZmWGo4SHoxejFOV0p4enp3amdIQnliQXI2QkNhbnBJM2hCTkcwSjJyeEhzU09DOExKLWtxU0JpX3NXZ0J3Vw?oc=5&hl=en-IN&gl=IN&ceid=IN:en"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , "google, indian, education"       , "en"      , "2026-07-15 19:09:01", "2026-07-15 19:09:01"
