collection_date,collection_time,keyword,video_id,title,channel_name,published_at,views,likes,comments,tags,video_url
2026-08-09,02:42:58,gta| live| gta5| gtav| gaming,L6u7Vf8acnw,🔴GTA 5 LIVE 🔥#gta5 #gtav #gaming,ADITYAISLIVE,2026-08-09,357710,1146,0,gtav| gta6| gta5live| shortlive| shortfeeds| shorts| gta5gameplay| gtavlive| live,https://www.youtube.com/watch?v=L6u7Vf8acnw
2026-08-09,02:42:58,toxic| hindi| rocking| star| yash| geetu| mohandas| kvn,G5hWlD5zfhw,Toxic Official Hindi Trailer | Rocking Star Yash | Geetu Mohandas | KVN | Monster Mind Creations,KVN PRODUCTIONS,2026-08-08,11695796,412680,26545,KVN Production| KVN| KVN Movies| Toxic| Yash| KD| Toxic Trailer| Toxic Movie| Toxic Yash| Rocking Star Yash| Yash New Movie| KVN Productions| Monster Mind Creations| Geetu Mohandas| Ravi Basrur| Kiara Advani| Nayanthara| Huma Qureshi| Tara Sutaria| Rukmini Vasanth| Rocky Bhai| Yash Movie| Toxic Update| Toxic A Fairy Tale| Toxic New Movie| Toxic Movie Trailer| Yash Movie Trailer| Yash Toxic Movie Trailer| toxic| Toxic Hindi Trailer| Toxic Hindi| Toxic Hindi Movie Trailer,https://www.youtube.com/watch?v=G5hWlD5zfhw
2026-08-09,02:42:59,minecraft| hardcore| all| bosses| day| kaicenat,Sm9Af2DPsqs,MINECRAFT HARDCORE ALL BOSSES DAY 1 🍄🔨🧟‍♂️ft. KaiCenat,IShowSpeed,2026-08-08,11421545,290894,1074,ishowspeed,https://www.youtube.com/watch?v=Sm9Af2DPsqs
2026-08-09,02:42:58,pmwc| ewc| group| stage| day| watchparty| snax,mIoVlSJKBXA,PMWC at EWC GROUP STAGE DAY 3 - WATCHPARTY WITH SNAX,Snax Gaming,2026-08-08,4133628,195757,241,snax| s8ul| pubgmobile| ewc| og| godl| india,https://www.youtube.com/watch?v=mIoVlSJKBXA
2026-08-09,02:42:58,wwe| 2k25| live| best| match| ever| played| unbelievable,pPOjdMqZl8U,WWE 2K25 LIVE – Best Match Ever Played EP 17 | Unbelievable Finish! #wwe #wrestling #wwe2k25 #shorts,SAH GAMING 2.O,2026-08-08,1940741,5637,0,wwe| wwe 2k25| live| shortsfeed| shortslive| Vertical live| views,https://www.youtube.com/watch?v=pPOjdMqZl8U
2026-08-09,02:42:58,gta| live| gta5| gtav| gaming,aTUwIuTq04g,GTA 5 LIVE  #gta5 #gtav #gaming,PAJI IS LIVE,2026-08-08,1917487,4804,0,No Tags,https://www.youtube.com/watch?v=aTUwIuTq04g
2026-08-09,02:42:58,gta| live| don| blink| secret| mod| activated| gtalive,xGNTEejogrQ,🔴 GTA 5 LIVE – DON’T BLINK! SECRET MOD ACTIVATED 🤯 #gtalive #gtaonline ep-06,NeXTGenGaming,2026-08-08,1028482,4609,0,No Tags,https://www.youtube.com/watch?v=xGNTEejogrQ
2026-08-09,02:42:59,gta| live| royal| sumeet| shortslive| shortsfeed| gta5| gtaonline,CLCOyM9iW0A,GTA 5 LIVE | ROYAL SUMEET #shortslive #shortsfeed #gta5 #gtaonline,ROYAL SUMEET,2026-08-08,1013454,3624,0,GTA 5| GTA V| GTA| Grand RP| GTA Online| GTA RP| Gaming| Livestream| Shorts| YouTube Shorts| Shorts Feed| Gamer| Streamer| Gameplay| Highlights| Community| Trending| Viral.Roleplay| PS5| PC| Funny| Action| OpenWorld| Modding| Car| Drift| GTA5Mods| FiveM| RP| RoleplayLife| ActionGaming| Voiceless| NoCommentary| ViralGaming| GamingClips| FunnyMoments| EpicWins| Fails| BeamNG| EuroTruckSimulator| FarmingSimulator| Streaming| Live| Online| BestMoments| MrRajaPlayzone| MRRAJAPLAY| MrRajaPlay| MrRajaGames| RajaGaming| MrRajaLive,https://www.youtube.com/watch?v=CLCOyM9iW0A
2026-08-09,02:42:58,live| gta| gameplay| raajoo| gaming,E2aQHujAJ8k,🔴LIVE GTA 5 GAMEPLAY | RAAJOO GAMING,Raajoo Gaming,2026-08-08,1006053,2594,0,GTA 5| gta 5 live| gta v gameplay| gta 5 mod| gta 5 funny| gta 5 gameplay| rockstar games,https://www.youtube.com/watch?v=E2aQHujAJ8k
2026-08-09,02:42:58,kya| season| hoga| conqueror| what| lolzzzgaming,UvUJbWmo1t8,KYA YE SEASON #1 HOGA? | CONQUEROR OR WHAT | @LoLzZzGaming,LoLzZz Gaming,2026-08-08,784385,39404,15,No Tags,https://www.youtube.com/watch?v=UvUJbWmo1t8
