section,metric,value
Prophet Forecast,Forecast Count,30
Prophet Forecast,Average Forecast,0.169071478078938
Prophet Forecast,Minimum Forecast,0.1581464853353517
Prophet Forecast,Maximum Forecast,0.1798251469351372
Prophet Forecast,Forecast Std Dev,0.006735993043015142
Prophet Forecast,Average Confidence Width,0.009532705805303692
Virality Model,Accuracy,0.8212194281777472
Virality Model,Precision,0.6359724612736661
Virality Model,Recall,0.5457902511078286
Virality Model,F1 Score,0.5874403815580286
Virality Model,Confusion Matrix,"[[4029, 423], [615, 739]]"
Anomaly Detection (Isolation Forest vs Final),Accuracy,0.9049259386841199
Anomaly Detection (Isolation Forest vs Final),Precision,1.0
Anomaly Detection (Isolation Forest vs Final),Recall,0.31343283582089554
Anomaly Detection (Isolation Forest vs Final),F1 Score,0.4772727272727273
Anomaly Detection (Z-Score vs Final),Accuracy,0.9917326903203583
Anomaly Detection (Z-Score vs Final),Precision,1.0
Anomaly Detection (Z-Score vs Final),Recall,0.9402985074626866
Anomaly Detection (Z-Score vs Final),F1 Score,0.9692307692307692
India Trend Score,Describe,"{'forecast_score': {'count': 5806.0, 'mean': 0.17982514693513726, 'std': 5.551593234760374e-17, 'min': 0.1798251469351372, '25%': 0.1798251469351372, '50%': 0.1798251469351372, '75%': 0.1798251469351372, 'max': 0.1798251469351372}, 'predicted_viral': {'count': 5806.0, 'mean': 0.20013778849466068, 'std': 0.40013776477074564, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 1.0}, 'viral_probability': {'count': 5806.0, 'mean': 0.2001224540607785, 'std': 0.3993953702401377, 'min': 8.4218205e-05, '25%': 0.00016913991, '50%': 0.00027183074, '75%': 0.00027183074, 'max': 0.9998319}, 'is_anomaly': {'count': 5806.0, 'mean': 0.13847743713399932, 'std': 0.3454301492851886, 'min': 0.0, '25%': 0.0, '50%': 0.0, '75%': 0.0, 'max': 1.0}, 'anomaly_score': {'count': 5806.0, 'mean': 0.08483410778002386, 'std': 0.09595173000289721, 'min': 0.0, '25%': 0.017482218788986925, '50%': 0.0558993072505131, '75%': 0.11153593794482664, 'max': 0.9652993039769447}, 'india_trend_score': {'count': 5806.0, 'mean': 0.2334760420254909, 'std': 0.3154057750391864, 'min': 0.1355, '25%': 0.1378, '50%': 0.2097, '75%': 0.2149, 'max': 10.9013}, 'trend_rank': {'count': 5806.0, 'mean': 2903.5, 'std': 1676.1921628102987, 'min': 1.0, '25%': 1452.25, '50%': 2903.5, '75%': 4354.75, 'max': 5806.0}}"
India Trend Score,Correlation Matrix,"{'forecast_score': {'forecast_score': nan, 'predicted_viral': nan, 'viral_probability': nan, 'is_anomaly': nan, 'anomaly_score': nan, 'india_trend_score': nan, 'trend_rank': nan}, 'predicted_viral': {'forecast_score': nan, 'predicted_viral': 1.0, 'viral_probability': 0.9998840421316952, 'is_anomaly': 0.38896162772215465, 'anomaly_score': 0.44142571406823194, 'india_trend_score': 0.4079388017166813, 'trend_rank': -0.6876428416058464}, 'viral_probability': {'forecast_score': nan, 'predicted_viral': 0.9998840421316952, 'viral_probability': 1.0, 'is_anomaly': 0.38840149126316115, 'anomaly_score': 0.44073222838086196, 'india_trend_score': 0.4080313835682032, 'trend_rank': -0.6879114539952396}, 'is_anomaly': {'forecast_score': nan, 'predicted_viral': 0.38896162772215465, 'viral_probability': 0.38840149126316115, 'is_anomaly': 1.0, 'anomaly_score': 0.7561845693657921, 'india_trend_score': 0.34798619344424125, 'trend_rank': -0.3910887393920689}, 'anomaly_score': {'forecast_score': nan, 'predicted_viral': 0.44142571406823194, 'viral_probability': 0.44073222838086196, 'is_anomaly': 0.7561845693657921, 'anomaly_score': 1.0, 'india_trend_score': 0.5136185830622165, 'trend_rank': -0.3530174503860708}, 'india_trend_score': {'forecast_score': nan, 'predicted_viral': 0.4079388017166813, 'viral_probability': 0.4080313835682032, 'is_anomaly': 0.34798619344424125, 'anomaly_score': 0.5136185830622165, 'india_trend_score': 1.0, 'trend_rank': -0.3877339221707238}, 'trend_rank': {'forecast_score': nan, 'predicted_viral': -0.6876428416058464, 'viral_probability': -0.6879114539952396, 'is_anomaly': -0.3910887393920689, 'anomaly_score': -0.3530174503860708, 'india_trend_score': -0.3877339221707238, 'trend_rank': 1.0}}"
